country,enrolments,region,longitude,latitude
China,227460,East Asia,104,35
India,182369,South Asia,78.9,22
Nepal,89530,South Asia,84,28.4
Philippines,47666,Southeast Asia,122.9,12.9
Vietnam,45356,Southeast Asia,108,14
Colombia,39867,South America,-74,4.6
Bangladesh,32525,South Asia,90.4,23.7
Pakistan,31801,South Asia,69.3,30.4
Indonesia,31579,Southeast Asia,113.9,-0.8
Brazil,30345,South America,-51.9,-14.2
Thailand,29038,Southeast Asia,101,15.9
Sri Lanka,25627,South Asia,80.8,7.9
Malaysia,17798,Southeast Asia,102,4.2
"Korea, Republic of (South)",17229,East Asia,127.8,36.5
Bhutan,15483,South Asia,90.4,27.5
Taiwan,15260,East Asia,121,23.7
Japan,14179,East Asia,138.2,36.2
Hong Kong SAR,13226,East Asia,114.2,22.3
Kenya,11897,Africa,37.9,-0.02
Mongolia,8455,East Asia,103.8,46.9
